"id","query","rough_role","region","source_page_url","image_url","download_status","local_filename","http_code","mime_type","review_status","usage_restriction"
"011","sea turtle hatchery sand enclosure Brazil","partial_hatchery_context_candidate","Brazil","https://www.guiaviagensbrasil.com/galerias/ba/fotos-do-projeto-tamar/foto-projeto-tamar-na%20praia-do-forte-bahia-brasil-1965/","https://www.guiaviagensbrasil.com/imagens/foto-projeto-tamar-na%20praia-do-forte-bahia-brasil-1965.jpg","downloaded","raw/prototype-web-v2/011.jpg",200,"image/jpeg","unreviewed","local_testing_only_not_redistributed"
"012","sea turtle hatchery sand enclosure Sri Lanka","hatchery_sand_bed_candidate","Sri Lanka","https://www.travelkalutara.com/attractions/wildlife/how-to-volunteer-at-kosgoda-turtle-hatchery.html","https://www.travelkalutara.com/wp-content/uploads/2017/12/turtle-hatchery-kosgoda.jpg","failed",,403,"text/html","unreviewed","local_testing_only_not_redistributed"
"013","sea turtle hatchery sand enclosure Sri Lanka","hatchery_sand_bed_candidate","Sri Lanka","https://themightaswellers.com/2015/05/27/a-visit-to-a-sri-lankan-turtle-conservation-project/","https://themightaswellers.com/wp-content/uploads/2015/05/img_5092.jpg","downloaded","raw/prototype-web-v2/013.jpg","cached","image/jpeg","unreviewed","local_testing_only_not_redistributed"
"014","sea turtle hatchery sand enclosure Nicaragua","hatchery_sand_bed_candidate","Nicaragua","https://www.el19digital.com/articulos/ver/164281-complejo-turistico-y-habitacional-en-villa-el-carmen-managua-aporta-al-cuido-del-medioambiente","https://www.el19digital.com/files/notas/source/2025/MAYO/19-Mayo/MARENA/MARENA-8.jpg","downloaded","raw/prototype-web-v2/014.jpg","cached","image/jpeg","unreviewed","local_testing_only_not_redistributed"
"015","sea turtle hatchery sand enclosure Mexico","hatchery_sand_bed_candidate","Mexico","https://oem.com.mx/elsoldetampico/turismo/el-regreso-de-las-tortugas-lora-a-tamaulipas-playa-miramar-recibe-a-dos-nuevas-visitantes-22956270","https://oem.com.mx/elsoldetampico/img/22899502/1745245948/BASE_LANDSCAPE/1200/image.webp","downloaded","raw/prototype-web-v2/015.webp","cached","image/webp","unreviewed","local_testing_only_not_redistributed"
"016","sea turtle hatchery sand enclosure Mexico","hatchery_sand_bed_candidate","Mexico","https://grupomarmor.com.mx/2026/01/25/se-testigo-del-primer-latido-del-mar-vive-la-liberacion-de-tortugas-en-las-costas-michoacanas/","https://grupomarmor.com.mx/storage/2026/01/Tortugas-2.gif","downloaded","raw/prototype-web-v2/016.gif","cached","image/gif","unreviewed","local_testing_only_not_redistributed"
"017","sea turtle hatchery sand enclosure Mexico","hatchery_sand_bed_candidate","Mexico","https://www.milenio.com/ciencia-y-salud/medioambiente/interponen-denuncia-campo-tortuguero-playa-miramar","https://cdn.milenio.com/uploads/media/2022/08/25/campo-tortuguero-playa-miramar-anahy.jpg","failed",,404,"image/jpeg","unreviewed","local_testing_only_not_redistributed"
"018","sea turtle hatchery sand enclosure Mexico","hatchery_sand_bed_candidate","Mexico","https://oem.com.mx/diariodexalapa/local/50-universitarios-de-ocho-paises-limpian-playas-y-protegen-tortugas-en-nautla-veracruz-28362973","https://oem.com.mx/diariodexalapa/img/28570232/1771628274/BASE_LANDSCAPE/1200/image.jpg","downloaded","raw/prototype-web-v2/018.jpg","cached","image/jpeg","unreviewed","local_testing_only_not_redistributed"
"019","sea turtle hatchery sand enclosure Mexico","hatchery_sand_bed_candidate","Mexico","https://oem.com.mx/diariodexalapa/local/ambientalista-denuncia-sobreexplotacion-de-cangrejos-jaibas-y-tortugas-en-playas-de-vega-de-alatorre-25846672","https://oem.com.mx/diariodexalapa/img/25846478/1758317157/BASE_LANDSCAPE/1200/image.webp","downloaded","raw/prototype-web-v2/019.webp","cached","image/webp","unreviewed","local_testing_only_not_redistributed"
"020","sea turtle hatchery sand enclosure Mexico","hatchery_sand_bed_candidate","Mexico","https://hablabiendeaca.com/directorio/aventura-tours/campamento-tortuguero-playa-larga","https://hablabiendeaca.com/images/archivos/201402082019612bb1.jpg","downloaded","raw/prototype-web-v2/020.jpg","cached","image/jpeg","unreviewed","local_testing_only_not_redistributed"
"021","sea turtle hatchery sand enclosure Mexico","hatchery_sand_bed_candidate","Mexico","https://www.playaviva.com/perfect-timing","https://lirp.cdn-website.com/fc746e6b/dms3rep/multi/opt/nick-wolf-turtle-markers-640w.jpg","downloaded","raw/prototype-web-v2/021.jpg","cached","image/jpeg","unreviewed","local_testing_only_not_redistributed"
"022","sea turtle hatchery sand enclosure Panama","hatchery_sand_bed_candidate","Panama","https://unachi.ac.pa/noticia/2076/capacitacion-sobre-conservacion-de-tortugas-marinas-en-la-universidad-autonoma-de-chiriqui","https://unachi.ac.pa/assets/galerias/galeria_2457/ae2699c7-8947-45cc-8d72-02d5f3a808fb.jpeg","downloaded","raw/prototype-web-v2/022.jpg","cached","image/jpeg","unreviewed","local_testing_only_not_redistributed"
"023","sea turtle hatchery sand enclosure Spain","hatchery_sand_bed_candidate","Spain","https://valenciaplaza.com/valenciaplaza/valencia/mas-de-200-voluntarios-vigilaran-los-243-huevos-de-tortuga-marina-llevados-a-una-playa-de-el-saler-hasta-su-eclosion","https://d31u1w5651ly23.cloudfront.net/articulos/articulos-1655056.jpg","downloaded","raw/prototype-web-v2/023.jpg","cached","image/jpeg","unreviewed","local_testing_only_not_redistributed"
"024","sea turtle hatchery sand enclosure Mexico","hatchery_sand_bed_candidate","Mexico","https://www.meganoticias.mx/tuxpan/noticia/urgen-recursos-para-campamento-tortuguero/142673","https://www.meganoticias.mx/uploads/noticias/urgen-recursos-para-campamento-tortuguero-142673.jpeg","downloaded","raw/prototype-web-v2/024.jpg",200,"image/jpeg","unreviewed","local_testing_only_not_redistributed"
"025","sea turtle hatchery sand enclosure Spain","hatchery_sand_bed_candidate","Spain","https://serbal-almeria.org/noticias/347-la-tortuga-boba-caretta-caretta-nidifica-en-almeria","https://serbal-almeria.org/images/noticias/20210903-nido-tortuga-marina-boba-almeria/Nido-tortuga-boba-2.jpg","downloaded","raw/prototype-web-v2/025.jpg",200,"image/jpeg","unreviewed","local_testing_only_not_redistributed"
"026","sea turtle hatchery sand enclosure Malaysia","hatchery_sand_bed_candidate","Malaysia","https://happygokl.com/bubbles-dive-resort/","https://files.happygokl.com/wp-content/uploads/2020/07/bubbles-turtles.jpg","downloaded","raw/prototype-web-v2/026.jpg",200,"image/jpeg","unreviewed","local_testing_only_not_redistributed"
"027","sea turtle hatchery sand enclosure Malaysia","hatchery_sand_bed_candidate","Malaysia","https://onpenang.com/penang-turtle-conservation-centre/","https://onpenang.com/wp-content/uploads/2024/04/Penang-Turtle-Sanctuary-5-1024x731.jpg.webp","downloaded","raw/prototype-web-v2/027.webp",200,"image/webp","unreviewed","local_testing_only_not_redistributed"
"028","sea turtle hatchery sand enclosure Malaysia","hatchery_sand_bed_candidate","Malaysia","https://pompomisland.com/2013/01/turtle-hatchery-maintenance/","https://www.pompomisland.com/wp-content/uploads/2013/02/Rebuilding-the-hatchery-3.jpg","downloaded","raw/prototype-web-v2/028.jpg",200,"image/jpeg","unreviewed","local_testing_only_not_redistributed"
"029","sea turtle hatchery sand enclosure Mexico","hatchery_sand_bed_candidate","Mexico","https://memanta.org/about/reasons-why/","https://memanta.org/wp-content/uploads/2024/05/hatchery-memanta.jpg","downloaded","raw/prototype-web-v2/029.jpg",200,"image/jpeg","unreviewed","local_testing_only_not_redistributed"
"030","sea turtle hatchery sand enclosure El Salvador","hatchery_sand_bed_candidate","El Salvador","https://www.laprensagrafica.com/elsalvador/Inauguran-vivero-para-tortugas-marinas-en-Conchagua-20171116-0081.html","https://assets.laprensagrafica.com/__export/1510871010652/sites/prensagrafica/img/2017/11/16/176adc18-2b30-41eb-8de7-386dc2139cc7.jpg_554688468.jpg","failed",,403,"text/html","unreviewed","local_testing_only_not_redistributed"
"031","sea turtle hatchery sand enclosure Nicaragua","hatchery_sand_bed_candidate","Nicaragua","https://www.adventure-life.com/nicaragua/padre-ramos/hotels/padre-ramos","https://cdn.adventure-life.com/53/42/1/dz32stra/663x400.webp","downloaded","raw/prototype-web-v2/031.webp",200,"image/webp","unreviewed","local_testing_only_not_redistributed"
"032","sea turtle hatchery sand enclosure Nicaragua","partial_hatchery_context_candidate","Nicaragua","https://www.surfingturtlelodge.com/turtle-hatchery/","https://www.surfingturtlelodge.com/wp-content/uploads/2022/11/seaturtlehatchery800-08.jpg","downloaded","raw/prototype-web-v2/032.jpg",200,"image/jpeg","unreviewed","local_testing_only_not_redistributed"
"033","sea turtle hatchery sand enclosure Ghana","hatchery_sand_bed_candidate","Ghana","https://www.apmterminals.com/en/news/news-releases/2020/201015-mps-launches-sea-turtle-conservation-program","https://cms-cd.apmterminals.com/-/media/mainsite/global/news/2020-news/201015-mps-launches-sea-turtle-conservation-program-02.jpg?hash=CE394B4CF5FB650D4F8F653BA55ADA5E&rev=d45f806f49e8492bb4c04b87f7cfd2b9","downloaded","raw/prototype-web-v2/033.jpg",200,"image/jpeg","unreviewed","local_testing_only_not_redistributed"
"034","sea turtle hatchery sand enclosure Mexico","partial_hatchery_context_candidate","Mexico","https://holanews.com/liberan-cientos-de-crias-de-tortuga-marina-en-costas-del-pacifico-mexicano/","https://i0.wp.com/holanews.com/wp-content/uploads/2022/11/rss-efe0e35063501486b2328056db5ba1f0dd97abbaad5w.jpg?fit=1920%2C1171&ssl=1","failed",,404,"text/plain","unreviewed","local_testing_only_not_redistributed"
"035","sea turtle hatchery sand enclosure India","partial_hatchery_context_candidate","India","https://www.indiatoday.in/india/tamil-nadu/story/olive-ridley-hatchlings-baby-sea-turtles-released-chennai-sea-after-30-day-conservation-2715996-2025-04-28","https://akm-img-a-in.tosshub.com/indiatoday/images/story/202504/olive-ridley-hatchlings-baby-sea-turtles-270403729-16x9_0.jpeg?VersionId=KZ7Z3WtgI3gISIvfHW2l4fQctj5LA7e3","downloaded","raw/prototype-web-v2/035.jpg","cached","image/jpeg","unreviewed","local_testing_only_not_redistributed"
"036","sea turtle hatchery sand enclosure El Salvador","partial_hatchery_context_candidate","El Salvador","https://spanish.news.cn/20221017/d25473e0400041e789f8e2bb20ef280c/c.html","https://spanish.news.cn/20221017/d25473e0400041e789f8e2bb20ef280c/20221017d25473e0400041e789f8e2bb20ef280c_2c059356-320d-428b-a33e-fe5499e25314.jpg","downloaded","raw/prototype-web-v2/036.jpg",200,"image/jpeg","unreviewed","local_testing_only_not_redistributed"
"037","sea turtle hatchery sand enclosure Qatar","partial_hatchery_context_candidate","Qatar","https://www.timeoutdoha.com/things-to-do/watch-turtles-hatch-at-fuwairit-beach-with-culture-pass","https://www.timeoutdoha.com/cloud/timeoutdoha/2022/06/02/Turtle-hatching1.jpg","failed",,403,"text/html","unreviewed","local_testing_only_not_redistributed"
"038","sea turtle hatchery sand enclosure Mexico","hatchery_sand_bed_candidate","Mexico","https://www.reforma.com/aplicaciones/articulo/default.aspx?id=1415012","https://img.gruporeforma.com/imagenes/960x640/5/85/4084482.jpg","downloaded","raw/prototype-web-v2/038.jpg",200,"image/jpeg","unreviewed","local_testing_only_not_redistributed"
"041","sea turtle hatchery sand enclosure Cabo Verde","hatchery_sand_bed_candidate","Cabo Verde","https://macaonews.org/news/lusofonia/cabo-cape-verde-turtles-nesting-pollution-cleanup-beaches/","https://macaonews.org/wp-content/uploads/2025/05/shutterstock_2235940159.jpg","failed",,404,"text/html","unreviewed","local_testing_only_not_redistributed"
"042","sea turtle hatchery sand enclosure Malaysia","hatchery_sand_bed_candidate","Malaysia","https://www.tioman.org/juara-turtle-project.htm","https://www.tioman.org/img/juara-turtle-project-nest.jpg","downloaded","raw/prototype-web-v2/042.jpg",200,"image/jpeg","unreviewed","local_testing_only_not_redistributed"
"043","sea turtle hatchery sand enclosure Malaysia","hatchery_sand_bed_candidate","Malaysia","https://www.gretchencoffman.org/turtle-conservation-by-tracc-on-pom-pom-island/","https://www.gretchencoffman.org/wp-content/uploads/2016/07/turtle-hatchery.jpg","downloaded","raw/prototype-web-v2/043.jpg",200,"image/jpeg","unreviewed","local_testing_only_not_redistributed"
"044","sea turtle hatchery sand enclosure Malaysia","hatchery_sand_bed_candidate","Malaysia","https://www.internhq.com/destinations/malaysia/sea-turtle-conservation-internships-in-malaysia/","https://iahq.imgix.net/images/destinations/malaysia/gallery/malaysia-sea-turtle-conservation-internship-hatchery.jpg?auto=format%2Ccompress&crop=faces%2Ccenter&fit=crop&h=450&q=40&w=800","downloaded","raw/prototype-web-v2/044.jpg",200,"image/jpeg","unreviewed","local_testing_only_not_redistributed"
"045","sea turtle hatchery sand enclosure Mexico","hatchery_sand_bed_candidate","Mexico","https://1000caguamas.com/campamento-sayulita/","https://1000caguamas.com/campamento-sayulita/img/08%20Corral%20de%20incubacio%CC%81n%2C%202021.JPG","downloaded","raw/prototype-web-v2/045.jpg",200,"image/jpeg","unreviewed","local_testing_only_not_redistributed"
"046","sea turtle hatchery sand enclosure Malaysia","hatchery_sand_bed_candidate","Malaysia","https://www.seeturtles.org/turtle-blog/march-update-2022","https://images.squarespace-cdn.com/content/v1/5369465be4b0507a1fd05af0/07076576-cc63-43ba-87dc-5745696f7e19/Nest%2Bin%2BTegaipil%2Bisland_%2Bcredit%2BReef%2BGuardian.jpg?format=1000w","downloaded","raw/prototype-web-v2/046.webp",200,"image/webp","unreviewed","local_testing_only_not_redistributed"
"047","sea turtle hatchery sand enclosure Philippines","partial_hatchery_context_candidate","Philippines","https://awesome.blog/2016/12/pawikan-festival-help-save-the-turtles.html","https://i0.wp.com/c3.staticflickr.com/6/5699/31163551722_51338ee107_b.jpg?quality=89&resize=1024%2C683&ssl=1","downloaded","raw/prototype-web-v2/047.jpg",200,"image/jpeg","unreviewed","local_testing_only_not_redistributed"
"048","sea turtle hatchery sand enclosure Philippines","hatchery_sand_bed_candidate","Philippines","https://www.ikelite.com/blogs/features/arribada-pawikan-saving-the-sea-turtles-of-the-philippines","https://cdn.shopify.com/s/files/1/0866/6704/files/wessam-atif-baby-turtle-eggs_1024x1024.jpg?v=1741287083","downloaded","raw/prototype-web-v2/048.jpg",200,"image/jpeg","unreviewed","local_testing_only_not_redistributed"
"049","sea turtle hatchery sand enclosure Sao Tome","hatchery_sand_bed_candidate","Sao Tome and Principe","https://www.rainbowtours.co.uk/sao-tome-principe/experiences/southern-beaches-of-sao-tome","https://rainbowtours.imgix.net/1867/turtle-hatchery-praia-inhame-ecolodge-2023-sao-tome.jpg?auto=enhance&crop=focalpoint&fit=crop&fp-x=0.5&fp-y=0.5&fp-z=1&h=490&w=726","downloaded","raw/prototype-web-v2/049.jpg",200,"image/jpeg","unreviewed","local_testing_only_not_redistributed"
"053","sea turtle hatchery sand enclosure Benin","partial_hatchery_context_candidate","Benin","https://www.dw.com/en/turtles-find-friends-in-benin/video-64727600","https://static.dw.com/image/64728052_605.jpg","downloaded","raw/prototype-web-v2/053.jpg",200,"image/jpeg","unreviewed","local_testing_only_not_redistributed"
"055","sea turtle hatchery sand enclosure United States","partial_hatchery_context_candidate","United States","https://simplylivingnc.com/sea-turtle-loggerhead-hatchlings-nests-in-north-carolina/","https://simplylivingnc.com/wp-content/uploads/2018/02/0297-18-2015-SEA-TURTLESSSP_6655.jpg","failed",,403,"text/plain","unreviewed","local_testing_only_not_redistributed"
"058","sea turtle hatchery sand enclosure Panama","partial_hatchery_context_candidate","Panama","https://www.ultimahora.com/liberan-280-bebes-de-tortuga-lora-especie-vulnerable-en-una-playa-de-panama","https://grupovierci.brightspotcdn.com/dims4/default/34a7a0e/2147483647/strip/true/crop/5472x3081%2B0%2B275/resize/2000x1126%21/quality/90/?url=https%3A%2F%2Fk2-prod-grupo-vierci.s3.us-east-1.amazonaws.com%2Fbrightspot%2F63%2Fce%2F47ad4a38406f91ca4d868c2b6a75%2Fliberan-280-bebes-de-tortuga-lora-especie-vulnerable-en-una-playa-del-pacifico-de-panama-57078941.jpg","downloaded","raw/prototype-web-v2/058.jpg",200,"image/jpeg","unreviewed","local_testing_only_not_redistributed"
"059","sea turtle hatchery sand enclosure Turkey","partial_hatchery_context_candidate","Turkey","https://www.dertourfoundation.co.uk/en/our-projects","https://raisely-images.imgix.net/dertour-uk-foundation/uploads/turkiye-caretta-caretta-bearbeitet-1-jpeg-b04490.jpeg?auto=format&fit=max&q=62&w=1024","downloaded","raw/prototype-web-v2/059.jpg",200,"image/jpeg","unreviewed","local_testing_only_not_redistributed"
